School_Name,latitude,longitude,Total_Students,Free_Lunches,Percent_Free_Lunch,One_Parent_Homes,Percent_One_Parent_Homes,Limited_English,Percent_Limited_English,School_Level
ADAMS,47.673551,-122.391874,482,107,0.222,117,0.242738589,43,0.089211618,Elementary
ALKI,47.577331,-122.407724,357,93,0.261,80,0.224089636,20,0.056022409,Elementary
APPATLINCOLN,47.659985,-122.340031,524,3,0.006,13,0.02480916,0,0,Elementary
ARBORHEIGHTS,47.509544,-122.378666,337,124,0.368,89,0.264094955,24,0.071216617,Elementary
BAGLEY,47.686624,-122.342296,402,53,0.132,49,0.121890547,7,0.017412935,Elementary
BEACONHILL,47.584849,-122.315326,461,292,0.633,142,0.30802603,209,0.453362256,Elementary
BFDAY,47.65498,-122.349062,336,129,0.384,101,0.300595238,52,0.154761905,Elementary
BRYANT,47.671784,-122.292144,579,37,0.064,48,0.082901554,11,0.018998273,Elementary
COE,47.640515,-122.36575,452,69,0.153,97,0.21460177,43,0.095132743,Elementary
CONCORDINTL,47.523669,-122.324244,409,321,0.785,149,0.364303178,171,0.41809291,Elementary
DEARBORNPARK,47.5523,-122.296078,337,296,0.878,142,0.421364985,112,0.332344214,Elementary
DUNLAP,47.525004,-122.274777,376,317,0.843,160,0.425531915,182,0.484042553,Elementary
EMERSON,47.514722,-122.258746,287,234,0.815,144,0.50174216,79,0.275261324,Elementary
GATEWOOD,47.540293,-122.388568,461,176,0.382,135,0.292841649,64,0.138828633,Elementary
GATZERT,47.601259,-122.315351,378,337,0.892,185,0.489417989,156,0.412698413,Elementary
GRAHAMHILL,47.545752,-122.268524,403,258,0.64,136,0.337468983,120,0.297766749,Elementary
GREENLAKE,47.676335,-122.328558,259,48,0.185,53,0.204633205,4,0.015444015,Elementary
GREENWOOD,47.687266,-122.360066,357,93,0.261,77,0.215686275,11,0.030812325,Elementary
HAWTHORNE,47.565857,-122.28334,321,245,0.763,165,0.514018692,97,0.302180685,Elementary
HAY,47.632845,-122.352289,546,84,0.154,110,0.201465201,5,0.009157509,Elementary
HIGHLANDPARK,47.525699,-122.348758,427,334,0.782,181,0.423887588,116,0.271662763,Elementary
JSTANFORDINTL,47.65698,-122.324008,451,29,0.064,33,0.073170732,23,0.050997783,Elementary
K-5STEM@BOREN(a),47.548716,-122.362401,268,85,0.317,78,0.291044776,11,0.041044776,Elementary
KIMBALL,47.574187,-122.302587,475,271,0.571,93,0.195789474,174,0.366315789,Elementary
LAFAYETTE,47.579679,-122.387083,548,104,0.19,101,0.184306569,8,0.01459854,Elementary
LAURELHURST,47.662217,-122.277817,410,38,0.093,28,0.068292683,5,0.012195122,Elementary
LAWTON,47.657076,-122.390438,433,60,0.139,82,0.189376443,2,0.004618938,Elementary
LESCHI,47.602438,-122.29185,366,211,0.577,176,0.480874317,62,0.169398907,Elementary
LOWELL,47.62442,-122.318104,182,92,0.505,74,0.406593407,18,0.098901099,Elementary
LOYALHEIGHTS,47.686631,-122.389237,426,21,0.049,53,0.124413146,1,0.002347418,Elementary
MAPLE,47.558025,-122.318589,473,299,0.632,130,0.274841438,164,0.346723044,Elementary
MARTINLKINGJR.,47.541934,-122.27714,362,308,0.851,155,0.428176796,144,0.397790055,Elementary
MCDONALD,47.65971,-122.339919,277,30,0.108,44,0.158844765,7,0.025270758,Elementary
MCGILVRA,47.633924,-122.284783,301,44,0.146,74,0.245847176,4,0.013289037,Elementary
MONTLAKE,47.640588,-122.304076,238,17,0.071,30,0.12605042,0,0,Elementary
MUIR,47.573408,-122.290373,459,301,0.656,166,0.361655773,124,0.270152505,Elementary
NORTHBEACH,47.695085,-122.387057,314,34,0.108,29,0.092356688,3,0.00955414,Elementary
NORTHGATE,47.714579,-122.329401,248,216,0.871,118,0.475806452,102,0.411290323,Elementary
OLYMPICHILLS,47.723873,-122.306731,271,197,0.727,113,0.41697417,77,0.284132841,Elementary
OLYMPICVIEW,47.69815,-122.321446,481,151,0.314,102,0.212058212,56,0.116424116,Elementary
QUEENANNE,47.637843,-122.348989,279,22,0.079,33,0.11827957,4,0.014336918,Elementary
RAINIERVIEW,47.499086,-122.263338,181,121,0.669,77,0.425414365,45,0.248618785,Elementary
ROGERS,47.707231,-122.284748,307,119,0.388,99,0.32247557,12,0.039087948,Elementary
ROXHILL,47.518073,-122.370831,368,288,0.783,143,0.388586957,119,0.323369565,Elementary
SACAJAWEA,47.698462,-122.307654,260,66,0.254,52,0.2,16,0.061538462,Elementary
SANDPOINT,47.673607,-122.26295,231,118,0.511,73,0.316017316,65,0.281385281,Elementary
SANISLO,47.539759,-122.358836,281,189,0.673,109,0.387900356,77,0.274021352,Elementary
SCHMITZPARK,47.572466,-122.396692,536,67,0.125,90,0.167910448,4,0.007462687,Elementary
STEVENS,47.631609,-122.307713,377,144,0.382,97,0.25729443,56,0.148541114,Elementary
THORNTONCREEK,47.685436,-122.282551,362,28,0.077,32,0.08839779,1,0.002762431,Elementary
THURGOODMARSHALL,47.591014,-122.299262,455,143,0.314,89,0.195604396,44,0.096703297,Elementary
VANASSELT,47.528944,-122.288987,523,422,0.807,180,0.34416826,238,0.455066922,Elementary
VIEWRIDGE,47.680663,-122.276304,598,33,0.055,47,0.078595318,9,0.015050167,Elementary
VIEWLANDS,47.706097,-122.361026,246,144,0.585,92,0.37398374,59,0.239837398,Elementary
WEDGWOOD,47.69057,-122.297589,471,42,0.089,42,0.089171975,6,0.012738854,Elementary
WESTSEATTLEELEM,47.541786,-122.373861,399,356,0.892,184,0.461152882,155,0.388471178,Elementary
WESTWOODLAND,47.670394,-122.362236,486,34,0.07,52,0.106995885,3,0.00617284,Elementary
